name,tuition,grades,address,religion,state,scraped_at
Alabama Waldorf School,6000.0,PK-8,"5901 Crestwood Blvd
Birmingham, AL 35212
(205) 592-0541",,Alabama,2025-02-13T17:24:42.511903
Covenant Christian School,6000.0,PK-8,"7150 Hitt Road
Mobile, AL 36695
(251) 633-8055",Christian,Alabama,2025-02-13T17:24:42.511903
Grace Classical Christian Academy,6100.0,K-12,"925 W Main Street
Albertville, AL 35950
(256) 437-9091",Christian,Alabama,2025-02-13T17:24:42.511903
Sacred Heart Elementary School,6213.0,PK-6,"112 2nd Ave Se
Cullman, AL 35055
(256) 734-4563",Catholic,Alabama,2025-02-13T17:24:42.511903
Shoals Christian School,6255.0,K-12,"301 Heathrow Dr
Florence, AL 35633
(256) 767-7070",Christian,Alabama,2025-02-13T17:24:42.513431
St. Ann Catholic School,6450.0,PK-8,"3910a Spring Ave Sw
Decatur, AL 35603
(125) 635-3654",Catholic,Alabama,2025-02-13T17:24:42.513431
,,,,,Alabama,2025-02-13T17:24:42.513431
Success Unlimited Academy,6500.0,PK-12,"2328 Fairlane Dr
Montgomery, AL 36116
(334) 213-0803",Christian,Alabama,2025-02-13T17:24:43.569808
Hoover Christian School,6614.0,K-12,"2113 Old Rocky Ridge Rd
Birmingham, AL 35216
(205) 987-3376",Seventh Day Adventist,Alabama,2025-02-13T17:24:43.569808
Grace Lutheran School,6790.0,PK-8,"3321 S Memorial Pkwy
Huntsville, AL 35801
(256) 881-0553",Lutheran Church Missouri Synod,Alabama,2025-02-13T17:24:43.569808
Faith Christian School,6830.0,PK-12,"4100 Ronnaki Road
Anniston, AL 36207
(256) 236-4499",Presbyterian,Alabama,2025-02-13T17:24:43.570309
Huntsville Christian Academy,7045.0,PK-12,"175 W Park Loop Nw
Huntsville, AL 35806
(256) 895-9550",Christian,Alabama,2025-02-13T17:24:43.570309
Cornerstone Christian School,7100.0,PK-12,"24975 Highway 25
Columbiana, AL 35051
(205) 669-7777",Baptist,Alabama,2025-02-13T17:24:43.570309
Mars Hill Bible School,7170.0,PK-12,"698 Cox Creek Pkwy
Florence, AL 35630
(256) 767-1203",Church of Christ,Alabama,2025-02-13T17:24:43.570309
Prattville Christian Academy,7500.0,PK-12,"322 Old Farm Lane N.
Prattville, AL 36066
(334) 285-0077",Christian,Alabama,2025-02-13T17:24:43.570811
Huntsville College Preparatory School,7650.0,K-12,"654 Discovery Drive NW
Huntsville, AL 35606
(256) 513-8700",,Alabama,2025-02-13T17:24:43.570811
Heritage Christian Academy,7750.0,PK-12,"6200 Lou George Loop
Bessemer, AL 35022
(205) 978-6001",Christian,Alabama,2025-02-13T17:24:43.570811
St. James Episcopal School,7750.0,PK-3,"860 N Section St
Fairhope, AL 36532
(251) 928-2912",Episcopal,Alabama,2025-02-13T17:24:43.570811
Lindsay Lane Christian Academy,8000.0,NS-12,"705 W Sanderfer Rd; 1300 Lindsay Lane
Athens, AL 35611
(256) 233-3778",Christian,Alabama,2025-02-13T17:24:43.570811
Talent Education & Art Christian Academy (tea),8000.0,K-12,"2637 Eastern Boulevard
Montgomery, AL 36117
(334) 517-1717",Christian,Alabama,2025-02-13T17:24:43.570811
Mobile Christian School,8075.0,PK-12,"5900 Cottage Hill Road
Mobile, AL 36609
(251) 661-1613",Church of Christ,Alabama,2025-02-13T17:24:43.570811
Saint Rose Academy,8100.0,PK-8,"1401 22nd Street S
Birmingham, AL 35205
(205) 933-0549",Catholic,Alabama,2025-02-13T17:24:43.570811
Evangel Classical Christian School,8475.0,PK-12,"423 Thompson Rd
Alabaster, AL 35007
(205) 216-0149",Presbyterian,Alabama,2025-02-13T17:24:43.571817
Churchill Academy,8500.0,1-12,"1705 Taylor Road
Montgomery, AL 36117
(334) 625-8252",,Alabama,2025-02-13T17:24:43.571817
Springwood School,8672.0,PK-12,"1814 Cherry Drive
Lanett, AL 36863
(334) 829-4000",,Alabama,2025-02-13T17:24:43.571817
Bayside Academy,9000.0,PK-12,"303 Dryer Ave
Daphne, AL 36526
(251) 338-6300",,Alabama,2025-02-13T17:24:43.571817
St. Bernard Preparatory School,9350.0,7-12,"1600 Saint Bernard Ave Se
Cullman, AL 35055
(256) 739-6682",Catholic,Alabama,2025-02-13T17:24:43.571817
Alabama Christian Academy,9494.0,PK-12,"4700 Wares Ferry Road
Montgomery, AL 36109
(334) 277-1985",Church of Christ,Alabama,2025-02-13T17:24:43.571817
The American Academy For Young Professionals,9550.0,6-12,"7501 Division Avenue - East Campus
Birmingham, AL 35206
(205) 836-5758",Christian,Alabama,2025-02-13T17:24:43.571817
Macon East Academy,9605.0,PK-12,"15396 Vaughn Rd
Cecil, AL 36013
(334) 277-6566",,Alabama,2025-02-13T17:24:43.571817
Arlington School,10000.0,9-12,"1312 22nd St S
Birmingham, AL 35205
(205) 939-3665",,Alabama,2025-02-13T17:24:43.572813
Hilltop Montessori School,10000.0,NS-8,"6 Abbott Square
Birmingham, AL 35242
(205) 437-9343",,Alabama,2025-02-13T17:24:43.572813
KLA Schools of Huntsville,10000.0,NS-K,"1699 Old Dry Creek Rd
Huntsville, AL 35806
(256) 837-5266",,Alabama,2025-02-13T17:24:43.572813
Maranathan Academy,10000.0,6-12,"10- 67th Street North
Birmingham, AL 35206
(291) 591-8100",,Alabama,2025-02-13T17:24:43.573316
Westminster School At Oak Mountain,10000.0,K-12,"5080 Cahaba Valley Trace
Birmingham, AL 35242
(205) 995-9694",Presbyterian,Alabama,2025-02-13T17:24:43.573316
St. John Paul II Catholic High School,10400.0,9-12,"7301 Old Madison Pike
Huntsville, AL 35806
(256) 430-1760",Catholic,Alabama,2025-02-13T17:24:43.573316
Whitesburg Christian Academy,11000.0,PK-12,"7290 Whitesburg Drive S
Huntsville, AL 35802
(256) 489-7680",Baptist,Alabama,2025-02-13T17:24:43.573316
N. E. Miles Jewish Day School,12000.0,K-8,"4000 Montclair Rd
Birmingham, AL 35213
(205) 879-1068",Jewish,Alabama,2025-02-13T17:24:43.573822
Tuscaloosa Academy,12000.0,PK-12,"420 Rice Valley Road N
Tuscaloosa, AL 35406
(205) 758-4462",,Alabama,2025-02-13T17:24:43.573822
St. Luke's Episcopal School,12210.0,PK-12,"1400 University Blvd
Mobile, AL 36609
(251) 666-2991",Episcopal,Alabama,2025-02-13T17:24:43.573822
Madison Academy,13407.0,PK-12,"325 Slaughter Rd
Madison, AL 35758
(256) 469-6410",Christian,Alabama,2025-02-13T17:24:43.573822
Bright Academy,14950.0,1-8,"3590 Pleasant Valley Rd
Mobile, AL 36609
(251) 525-9105",,Alabama,2025-02-13T17:24:43.573822
Advent Episcopal Day School,15600.0,PK-8,"2019 6th Avenue North
Birmingham, AL 35203
(205) 252-2535",Episcopal,Alabama,2025-02-13T17:24:43.574364
Highlands School,15650.0,PK-8,"4901 Old Leeds Rd
Birmingham, AL 35213
(205) 956-9731",,Alabama,2025-02-13T17:24:43.574364
Greengate School,18900.0,1-8,"2800 Poplar Avenue, Unit B
Huntsville, AL 35816
(256) 799-6192",,Alabama,2025-02-13T17:24:43.574364
The Altamont School,19618.0,5-12,"4801 Altamont Road South
Birmingham, AL 35222
(205) 874-3501",,Alabama,2025-02-13T17:24:43.574364
Indian Springs School,29500.0,8-12,"190 Woodward Drive
Pelham, AL 35124
(205) 988-3350",,Alabama,2025-02-13T17:24:43.574878
Southern Preparatory Academy,35000.0,6-12,"174 Ward Circle
Camp Hill, AL 36850
(256) 790-9202",,Alabama,2025-02-13T17:24:43.574878
The Horizons School,36000.0,12,"2018 15th Avenue South
Birmingham, AL 35205
(205) 322-6606",,Alabama,2025-02-13T17:24:43.574878
Bristol Bay Christian Learning Center,2295,K-12,"Po Box 257
King Salmon, AK 99613
(907) 246-7323",Christian,Alaska,2025-02-13T17:24:45.185298
Far North Christian School,2800,PK-10,"1110 20th Ave
Fairbanks, AK 99701
(907) 452-7979",Christian,Alaska,2025-02-13T17:24:45.185298
St. Mary's School,3100,PK-8,"2932 Mill Bay Rd
Kodiak, AK 99615
(907) 486-3513",Catholic,Alaska,2025-02-13T17:24:45.185298
Holy Name Catholic School,4400,PK-6,"433 Jackson St
Ketchikan, AK 99901
(907) 225-2400",Catholic,Alaska,2025-02-13T17:24:45.185298
North Pole Christian School,4750,PK-K,"2936 Badger Road
North Pole, AK 99705
(907) 488-0133",Christian,Alaska,2025-02-13T17:24:45.185298
Anchorage Junior Academy,5400,PK-8,"5511 O'Malley Road
Anchorage, AK 99507
(907) 346-2164",Seventh Day Adventist,Alaska,2025-02-13T17:24:45.185298
Faith Evangelical Lutheran School,5850,PK,"5200 Lake Otis Pkwy
Anchorage, AK 99507
(907) 563-3499",Wisconsin Evangelical Lutheran Synod,Alaska,2025-02-13T17:24:45.185298
St. Elizabeth Ann Seton School,7000,PK-6,"2901 Huffman Rd
Anchorage, AK 99516
(907) 345-3712",Catholic,Alaska,2025-02-13T17:24:45.185298
Eagle River Christian School,7100,PK-12,"10336 E Eagle River Loop Rd
Eagle River, AK 99577
(907) 694-4602",Assembly of God,Alaska,2025-02-13T17:24:45.185298
Mountain City Christian Academy,7300,PK-12,"6401 E Northern Lights Blvd
Anchorage, AK 99504
(907) 337-9575",Baptist,Alaska,2025-02-13T17:24:45.185298
Birchwood Christian School,8000,PK-12,"22208 Birchwood Loop Rd
Chugiak, AK 99567
(907) 688-2228",,Alaska,2025-02-13T17:24:45.186834
Grace Christian School,8500,K-12,"12407 Pintail Street
Anchorage, AK 99516
(907) 644-2232",Christian,Alaska,2025-02-13T17:24:45.186834
Holy Rosary Academy,8750,PK-12,"1010 W Fireweed Lane
Anchorage, AK 99503
(907) 276-5822",Catholic,Alaska,2025-02-13T17:24:45.186834
Anchor Lutheran School,9550,PK-12,"8100 Arctic Blvd
Anchorage, AK 99518
(907) 522-3636",Lutheran Church Missouri Synod,Alaska,2025-02-13T17:24:45.186834
Lumen Christi High School,10000,7-12,"8110 Jewel Lake Rd
Anchorage, AK 99502
(907) 245-9231",Catholic,Alaska,2025-02-13T17:24:45.186834
Anchorage Waldorf School,11875,PK-8,"3250 Baxter Road
Anchorage, AK 99504
(907) 333-9062",,Alaska,2025-02-13T17:24:45.186834
Pacific Northern Academy,18468,K-8,"2511 Sentry Drive
Anchorage, AK 99507
(907) 333-1080",,Alaska,2025-02-13T17:24:45.186834
Ahwatukee Foothills Montessori,1275.0,PK-K,"3221 E Chandler Blvd
Phoenix, AZ 85048
(480) 759-3810",,Arizona,2025-02-13T17:24:47.179413
Centennial Academy,1700.0,10-12,"265 W Cannon Ave
Colorado City, AZ 86021
(928) 875-2203",Latter Day Saints,Arizona,2025-02-13T17:24:47.179413
East Fork Lutheran School,2000.0,K-8,"4325 Fort Apache Rd
Whiteriver, AZ 85941
(928) 338-4455",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:47.179413
American Indian Christian Misson School,2250.0,3-9,"924 Mission Ln # 1
Show Low, AZ 85901
(928) 537-5912",Christian,Arizona,2025-02-13T17:24:47.179413
Yuma Adventist Christian School,2650.0,K-8,"1681 S 6th Ave
Yuma, AZ 85364
(928) 783-0457",Seventh Day Adventist,Arizona,2025-02-13T17:24:47.180413
Ss Peter & Paul Catholic School,3800.0,K-8,"1436 N Campbell Ave
Tucson, AZ 85719
(520) 325-2431",Catholic,Arizona,2025-02-13T17:24:47.180413
Carden Christian Academy Central,4000.0,K-8,"2727 N Swan Rd
Tucson, AZ 85712
(520) 318-3824",,Arizona,2025-02-13T17:24:47.180413
First Baptist Christian Academy,4160.0,PK-9,"1447 S 7th Street
Sierra Vista, AZ 85635
(520) 458-2983",Baptist,Arizona,2025-02-13T17:24:47.180413
Family Life Academy,4200.0,PK-8,"7801 E Kenyon Drive
Tucson, AZ 85710
(520) 296-8989",Christian,Arizona,2025-02-13T17:24:47.180413
Mountain Christian School,4350.0,K-8,"3171 E Show Low Lake Rd
Show Low, AZ 85901
(928) 537-1050",Christian,Arizona,2025-02-13T17:24:47.180413
St. Cyril Elementary School,4500.0,K-8,"4725 E Pima Street
Tucson, AZ 85712
(520) 991-9241",Catholic,Arizona,2025-02-13T17:24:47.180413
Ascension Lutheran Preschool,4530.0,PK-K,"1220 W Magee Road
Tucson, AZ 85704
(520) 742-6229",Other Lutheran,Arizona,2025-02-13T17:24:47.180413
San Francisco De Asis,4725.0,PK-8,"320 N Humphreys Street
Flagstaff, AZ 86001
(928) 779-1337",Catholic,Arizona,2025-02-13T17:24:47.180413
Southwestern Christian School,4850.0,K-8,"3261 S Avenue 6 E
Yuma, AZ 85365
(928) 726-3086",Christian,Arizona,2025-02-13T17:24:47.180413
First Southern Christian School,4900.0,PK-6,"445 E Speedway Blvd
Tucson, AZ 85705
(520) 624-9797",Baptist,Arizona,2025-02-13T17:24:47.180413
Fountain Of Life Lutheran School,5000.0,K-8,"710 South Kolb Road
Tucson, AZ 85710
(520) 747-1213",Lutheran Church Missouri Synod,Arizona,2025-02-13T17:24:47.180413
Holy Cross Evangelical Lutheran School,5000.0,K-8,"1420 W. Thunderbird Rd.
Phoenix, AZ 85023
(623) 688-3141",Other Lutheran,Arizona,2025-02-13T17:24:47.181917
St. Michael Indian School,5000.0,PK-12,"1 Lupton Rd (PO Box 650)
Saint Michaels, AZ 86511
(505) 979-5590",Catholic,Arizona,2025-02-13T17:24:47.181917
Serenity Learning Center,5000.0,K-12,"2740 East Southern Ave
Mesa, AZ 85204
(480) 757-5350",,Arizona,2025-02-13T17:24:47.181917
Verde Valley Seventh-day Adventist School,5000.0,K-8,"51 W Mingus Ave
Cottonwood, AZ 86326
(928) 634-7322",Seventh Day Adventist,Arizona,2025-02-13T17:24:47.181917
Veritas Christian Community School,5018.0,K-12,"3993 S. HWY 92
Sierra Vista, AZ 85650
(520) 417-1113",Christian,Arizona,2025-02-13T17:24:47.181917
Desert Valley Christian School,5200.0,K-8,"1200 N Santa Rosa Avenue
Tucson, AZ 85712
(520) 795-0161",Seventh Day Adventist,Arizona,2025-02-13T17:24:47.181917
Sacred Heart Catholic School,5200.0,PK-8,"207 W Oak St
Nogales, AZ 85621
(520) 287-2223",Catholic,Arizona,2025-02-13T17:24:47.181917
St. Anthony Of Padua School,5200.0,PK-8,"1425 E Yaqui St
Sierra Vista, AZ 85650
(520) 788-6227",Catholic,Arizona,2025-02-13T17:24:47.181917
United Christian School,5200.0,PK-8,"903 Finnie Flat Rd
Camp Verde, AZ 86322
(928) 567-0415",Christian,Arizona,2025-02-13T17:24:47.182918
Almentia Academy,5250.0,K-12,"20987 N John Wayne Pkwy #B104227
Maricopa, AZ 85139
(480) 577-2831",,Arizona,2025-02-13T17:24:47.182918
Glenview Adventist Academy,5400.0,K-8,"6801 N 43rd Ave
Phoenix, AZ 85019
(623) 931-1846",Seventh Day Adventist,Arizona,2025-02-13T17:24:47.182918
Ignite Learning Academy,5400.0,K-12,"1155 S Power Rd Ste 114 #570
Mesa, AZ 85206
(480) 660-6474",,Arizona,2025-02-13T17:24:47.182918
St. Joseph Catholic School,5400.0,K,"215 S Craycroft Rd
Tucson, AZ 85711
(520) 747-3060",Catholic,Arizona,2025-02-13T17:24:47.182918
Yuma Lutheran School,5500.0,PK-8,"2555 S Engler Ave
Yuma, AZ 85365
(928) 726-8410",Lutheran Church Missouri Synod,Arizona,2025-02-13T17:24:47.183420
Grace Lutheran School,5600.0,PK-8,"5600 W Palmaire Avenue
Glendale, AZ 85301
(623) 937-2010",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:47.183420
St. John Bosco Catholic,5665.0,PK-8,"16035 S 48th Street
Phoenix, AZ 85048
(480) 219-4848",Catholic,Arizona,2025-02-13T17:24:47.183420
Emmanuel Christian Academy,5698.0,K-8,"3120 Hualapai Mountain Road
Kingman, AZ 86401
(928) 681-4220",Christian,Arizona,2025-02-13T17:24:47.183420
Dobson-montessori School,5760.0,PK-12,"745 S. Extension
Mesa, AZ 85210
(480) 962-1432",,Arizona,2025-02-13T17:24:47.183420
91st Psalm Christian School,5800.0,PK-12,"2020 E Baseline Rd
Phoenix, AZ 85042
(602) 243-1900",Christian,Arizona,2025-02-13T17:24:47.183420
,,,,,Arizona,2025-02-13T17:24:47.183420
Logos Academy,5800.0,K-10,"9745 N Trekell Rd
Casa Grande, AZ 85122
(520) 421-1220",Christian,Arizona,2025-02-13T17:24:48.267410
Veritas Academy Of Tucson,5800.0,K-12,"2151 N Palo Verde Blvd
Tucson, AZ 85716
(520) 576-0427",,Arizona,2025-02-13T17:24:48.267410
St. Louis The King School,5840.0,PK-8,"4331 W. Maryland Avenue
Glendale, AZ 85301
(623) 939-4264",Catholic,Arizona,2025-02-13T17:24:48.267410
St. John Vianney Catholic School,5900.0,PK-8,"539 E La Pasada Blvd
Goodyear, AZ 85338
(623) 932-2434",Catholic,Arizona,2025-02-13T17:24:48.267410
Grace Fellowship Academy,5975.0,PK-8,"1300 N Miller Road
Buckeye, AZ 85326
(623) 393-8883",Christian,Arizona,2025-02-13T17:24:48.267410
Florence Baptist Academy,6000.0,PK-K,"30 N. Willow St
Florence, AZ 85232
(520) 868-1728",Christian,Arizona,2025-02-13T17:24:48.267410
HOPE Christian Academy,6000.0,NS-8,"1125 N. Dobson Road
Chandler, AZ 85224
(480) 722-1445",Christian,Arizona,2025-02-13T17:24:48.267410
Immaculate Heart Academy,6000.0,PK-8,"410 E Magee Rd
Tucson, AZ 85704
(520) 297-6672",Catholic,Arizona,2025-02-13T17:24:48.268412
Christ The King Catholic School and Parish,6100.0,PK-8,"1551 E Dana Avenue
Mesa, AZ 85204
(480) 844-4480",Catholic,Arizona,2025-02-13T17:24:48.268412
Emmaus Lutheran School,6100.0,PK-8,"3841 W Sweetwater Ave
Phoenix, AZ 85029
(602) 843-3853",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:48.268412
Atonement Lutheran,6150.0,PK-8,"4001 W Beardsley Rd
Glendale, AZ 85308
(623) 374-3019",Lutheran Church Missouri Synod,Arizona,2025-02-13T17:24:48.268412
Faith Community Academy,6200.0,PK-6,"2551 West Orange Grove Rd
Tucson, AZ 85741
(520) 742-4189",,Arizona,2025-02-13T17:24:48.268913
St. Mary-basha Catholic School,6200.0,PK-8,"200 West Galveston St
Chandler, AZ 85225
(480) 963-4951",Catholic,Arizona,2025-02-13T17:24:48.268913
Sunrise Montessori School South,6250.0,PK-K,"14233 North 47th Avenue
Glendale, AZ 85306
(602) 843-6053",,Arizona,2025-02-13T17:24:48.268913
Grace Learning Center,6400.0,K-12,"2101 Palo Verde Blvd N
Lake Havasu City, AZ 86404
(928) 447-2237",Christian,Arizona,2025-02-13T17:24:48.268913
Northland Christian School,6400.0,K-12,"8000 N Us Highway 89
Flagstaff, AZ 86004
(928) 526-0327",Baptist,Arizona,2025-02-13T17:24:48.268913
Psalms Learning Center,6400.0,K-12,"3430 McCulloch Blvd N
Lake Havasu City, AZ 86406
(928) 764-0309",Christian,Arizona,2025-02-13T17:24:48.268913
Redeemer Lutheran School,6500.0,PK-8,"8845 N Silverbell Rd
Tucson, AZ 85743
(520) 572-8136",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:48.268913
Sacred Heart Catholic School,6500.0,PK-8,"131 N Summit Ave
Prescott, AZ 86301
(928) 445-2621",Catholic,Arizona,2025-02-13T17:24:48.269930
Cross Of Glory Lutheran School,6550.0,PK-8,"10111 W. Jomax. Rd.
Peoria, AZ 85383
(623) 224-8841",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:48.269930
Prescott Adventist Christian School,6600.0,K-10,"2980 Willow Creek Rd
Prescott, AZ 86301
(928) 224-8022",Christian,Arizona,2025-02-13T17:24:48.269930
Desert Christian Schools Pk12,6640.0,PK-12,"9415 E. Wrightstown
Tucson, AZ 85715
(520) 901-5499",Christian,Arizona,2025-02-13T17:24:48.269930
AD,6750.0,K-5,"17475 W Bell Rd
Surprise, AZ 85374
(623) 544-3498",Baptist,Arizona,2025-02-13T17:24:48.270435
Primavera School,6750.0,PK-5,"1446 Moyer Rd
Prescott, AZ 86303
(928) 445-5382",,Arizona,2025-02-13T17:24:48.270435
Calvary Christian Academy,6775.0,PK-9,"1605 Mcculloch Blvd S
Lake Havasu City, AZ 86406
(928) 854-5465",Baptist,Arizona,2025-02-13T17:24:48.270435
Faith Lutheran School,6800.0,NS-8,"3925 E 5th Street
Tucson, AZ 85711
(520) 881-0670",Lutheran Church Missouri Synod,Arizona,2025-02-13T17:24:48.270435
Truthful Beginnings,6800.0,PK-12,"1682 E Hwy 70
Safford, AZ 85546
(928) 792-2858",Christian,Arizona,2025-02-13T17:24:48.270435
Tucson Baptist Academy,6800.0,K-8,"1525 S Columbus Blvd
Tucson, AZ 85711
(520) 748-2277",Baptist,Arizona,2025-02-13T17:24:48.270435
St. Elizabeth Ann Seton School,6950.0,PK-8,"8560 N Shannon Road
Tucson, AZ 85742
(520) 219-7650",Catholic,Arizona,2025-02-13T17:24:48.270435
Annunciation Catholic School,7000.0,K-8,"32648 N Cave Creek Rd
Cave Creek, AZ 85331
(480) 361-8234",Catholic,Arizona,2025-02-13T17:24:48.270435
Emmanuel Lutheran School,7000.0,PK-8,"715 W Southern Ave
Tempe, AZ 85282
(480) 967-3991",Wisconsin Evangelical Lutheran Synod,Arizona,2025-02-13T17:24:48.271442
"Pathways Early College Academy, Inc.",7000.0,7-12,"Fully Virtual High School
Phoenix, AZ 85041
(480) 248-1670",,Arizona,2025-02-13T17:24:48.271442
Risen Savior Lutheran School,7000.0,PK-K,"23914 S Alma School Road
Chandler, AZ 85248
(480) 802-1505",Lutheran Church Missouri Synod,Arizona,2025-02-13T17:24:48.271442
St. Gregory School,7000.0,PK-8,"3440 N 18th Ave
Phoenix, AZ 85015
(602) 266-9527",Catholic,Arizona,2025-02-13T17:24:48.271442
St. Jerome Elementary School,7000.0,NS-8,"10815 N 35th Ave
Phoenix, AZ 85029
(602) 942-5644",Catholic,Arizona,2025-02-13T17:24:48.271442
Tri-city Christian Academy,7200.0,K-12,"2211 W Germann Rd
Chandler, AZ 85286
(480) 245-7902",Baptist,Arizona,2025-02-13T17:24:48.271442
West Valley Christain School,7200.0,K-8,"16260 W. Van Buren St.
Goodyear, AZ 85338
(623) 234-2100",Christian,Arizona,2025-02-13T17:24:48.271442
Our Mother Of Sorrows Catholic School,7450.0,PK-8,"1800 South Kolb Road
Tucson, AZ 85710
(520) 747-1027",Catholic,Arizona,2025-02-13T17:24:48.271442
Saguaro Hills Sda Christian School,7500.0,K-8,"4280 W Irvington Rd
Tucson, AZ 85746
(520) 325-1454",Seventh Day Adventist,Arizona,2025-02-13T17:24:48.271442
webTipping Point Academy,7500.0,PK-12,"5334 E Thunderbird Rd
Scottsdale, AZ 85254
(480) 944-2220",Christian,Arizona,2025-02-13T17:24:48.271442
Wickenburg Christian Academy,7500.0,PK-12,"260 W Yavapai Street
Wickenburg, AZ 85390
(928) 684-5916",Christian,Arizona,2025-02-13T17:24:48.271442
